timestamp,latency_ms,download_mbps,upload_mbps,packet_loss_percent
2026-03-09 17:57:34,50.66,2.11,2.45,0.0
2026-03-09 17:58:23,63.27,3.43,3.04,0.0
2026-03-09 19:10:01,155.03,11.03,16.34,0.0
2026-03-09 19:31:37,183.48,13.93,12.37,0.0
2026-03-09 21:11:43,171.05,13.49,13.07,0.0
2026-03-10 08:37:36,45.24,0.54,6.2,0.0
